#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
29,Dansby Swanson,CHC,157,610,679,149,98,29,2,21,83,79,60,1,166,4,4,1,15,4,0.245
30,Marcus Semien,TEX,154,597,665,151,95,29,3,23,94,76,60,1,102,4,3,1,10,2,0.252
31,Riley Greene,DET,147,562,637,150,94,28,5,22,86,78,67,2,158,5,3,1,6,2,0.268
32,Gabriel Moreno,ARI,128,449,507,127,90,25,1,10,58,59,49,1,83,4,4,1,6,2,0.283
33,Corbin Carroll,ARI,156,583,672,151,91,26,11,23,108,84,70,1,130,11,5,3,38,7,0.259
34,Andrés Giménez,TOR,147,579,637,153,107,29,3,14,71,70,33,2,107,18,4,3,27,5,0.265
35,Willy Adames,SFG,156,597,672,145,84,35,1,24,83,84,67,2,158,3,4,1,14,4,0.243
36,Carlos Correa,MIN,130,491,560,132,84,27,2,20,74,69,60,4,109,5,4,1,1,0,0.269
37,Manny Machado,SDP,151,592,651,158,98,30,1,29,82,99,52,6,127,2,5,0,8,2,0.266
38,Steven Kwan,CLE,156,592,672,168,125,27,5,11,93,61,68,1,66,5,4,3,18,4,0.283
39,Wyatt Langford,TEX,143,548,616,147,90,30,4,22,83,85,59,2,122,5,4,0,19,5,0.268
40,Alejandro Kirk,TOR,110,385,436,103,73,19,0,10,42,49,43,1,53,4,4,0,1,0,0.267
41,Anthony Volpe,NYY,157,611,679,147,92,33,5,18,83,75,55,1,151,7,4,1,28,7,0.241
42,Isaac Paredes,HOU,141,521,609,127,75,26,1,25,75,84,69,1,101,14,4,1,2,1,0.244
43,Rafael Devers,BOS,157,598,679,161,90,35,3,33,97,100,69,13,147,7,4,1,4,1,0.269
44,Jazz Chisholm Jr.,NYY,141,548,609,137,84,22,3,27,80,87,51,3,153,5,4,1,34,9,0.249
45,Brent Rooker,ATH,149,568,644,147,81,25,2,38,86,101,63,3,190,8,4,1,8,2,0.258
46,Xander Bogaerts,SDP,149,580,644,154,108,28,1,17,74,71,52,1,114,6,6,1,13,3,0.266
47,Alex Bregman,BOS,157,598,679,155,97,32,3,24,88,89,68,1,87,8,5,0,3,1,0.26
48,Bo Bichette,TOR,144,579,623,162,111,32,2,18,80,74,36,1,119,4,3,1,10,3,0.28
49,Mike Trout,LAA,120,446,518,114,62,21,3,28,77,73,61,5,139,7,2,1,9,2,0.255
50,Jordan Westburg,BAL,133,523,574,136,83,30,4,20,73,78,39,0,130,8,3,1,8,2,0.26
