#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
133,Martín Pérez,CHW,24,24,136,599,6,9,11,0,0,,147,74,69,18,,5,100,50,6.65,3.29,4.56,1.45
134,Steven Matz,STL,18,42,116,497,6,6,8,0,1,,116,56,52,14,,4,102,35,7.92,2.73,4.01,1.3
135,Grant Holmes,ATL,15,45,114,489,6,5,7,0,1,,110,55,51,13,,5,110,37,8.66,2.94,3.99,1.29
136,Alec Marsh,KCR,21,35,124,536,7,9,9,0,1,,119,66,62,17,,9,118,46,8.57,3.32,4.49,1.34
137,Casey Mize,DET,23,23,118,503,6,6,11,0,0,,118,60,55,15,,6,94,33,7.18,2.54,4.23,1.29
138,Antonio Senzatela,COL,23,33,126,559,5,9,8,0,1,,148,77,71,17,,5,79,37,5.64,2.62,5.08,1.47
139,Jonathan Cannon,CHW,26,34,157,683,7,11,11,0,1,,165,89,83,23,,7,116,53,6.64,3.05,4.75,1.39
140,Johan Oviedo,PIT,21,33,130,563,7,9,9,0,1,,125,68,63,16,,8,114,53,7.93,3.68,4.38,1.38
141,DJ Herz,WSN,21,45,124,539,7,9,9,0,1,,106,62,58,16,,7,135,63,9.82,4.53,4.19,1.36
142,Simeon Woods Richardson,MIN,26,26,130,562,6,8,12,0,0,,129,70,65,18,,4,111,49,7.69,3.43,4.53,1.38
143,Eury Pérez,MIA,15,15,73,305,4,4,8,0,0,,65,34,31,10,,2,80,23,9.76,2.87,3.85,1.21
144,Rhett Lowder,CIN,18,42,117,502,6,7,7,0,1,,121,65,60,17,,5,93,37,7.16,2.82,4.65,1.35
145,Randy Vásquez,SDP,26,34,141,611,8,9,11,0,1,,143,76,70,19,,10,106,48,6.8,3.05,4.51,1.35
146,Jordan Montgomery,ARI,16,42,117,502,7,6,7,0,1,,121,57,53,13,,3,93,36,7.16,2.74,4.07,1.34
147,Spencer Turnbull,,18,18,99,424,5,5,9,0,0,,94,51,47,12,,8,90,36,8.19,3.29,4.3,1.32
