#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
366,David Fry,CLE,40,154,175,38,23,9,1,5,19,23,15,1,41,4,1,0,1,0,0.244
367,MJ Melendez,KCR,113,439,490,104,58,23,4,19,58,61,46,1,120,2,3,0,4,4,0.237
368,Joshua Palacios,PIT,26,101,112,27,18,5,1,3,14,14,8,0,23,2,0,1,2,1,0.263
369,James McCann,,45,164,179,38,26,7,0,4,18,19,10,0,47,2,2,1,1,0,0.23
370,Vinny Capra,MIL,28,107,119,26,18,6,1,2,13,12,10,0,27,1,1,0,2,1,0.247
371,Darell Hernaiz,ATH,26,103,112,25,18,5,1,2,13,11,7,0,19,1,1,1,2,1,0.248
372,Taylor Trammell,HOU,18,67,77,15,8,4,0,3,10,10,8,0,23,1,1,0,2,1,0.224
373,Travis Bazzana,CLE,29,112,126,24,16,5,0,3,16,14,12,0,40,2,0,0,2,0,0.21
374,Miguel Rojas,LAD,23,90,98,23,16,5,0,1,10,10,6,0,12,1,1,1,2,1,0.253
375,Stuart Fairchild,CIN,52,197,224,46,28,9,1,7,29,28,18,0,61,6,1,2,9,1,0.231
376,Ben Rice,NYY,36,132,152,30,17,5,0,7,20,23,16,0,37,3,1,0,2,1,0.226
377,Will Benson,CIN,45,169,196,35,19,8,2,6,26,23,24,0,68,2,1,0,8,3,0.21
378,Elias Díaz,SDP,78,285,307,64,44,13,0,8,27,34,19,1,68,2,2,0,0,0,0.226
379,Jack Suwinski,PIT,34,127,147,29,16,6,1,6,18,19,16,1,44,1,1,0,3,1,0.231
380,Christian Bethancourt,TOR,19,73,77,17,11,4,0,3,9,9,3,0,20,0,0,0,1,0,0.235
381,Zach McKinstry,DET,47,183,203,43,28,8,3,4,24,17,16,0,43,2,1,1,7,1,0.234
382,Matt Mervis,MIA,92,358,399,84,52,19,1,13,42,48,32,1,110,6,3,0,2,1,0.235
383,Brett Baty,NYM,18,69,77,17,11,3,0,3,9,10,7,0,20,1,0,0,0,0,0.24
384,Whit Merrifield,,42,165,182,41,30,8,0,3,22,18,13,0,31,1,2,1,7,2,0.248
385,Mitch Haniger,SEA,94,364,406,81,53,14,0,14,48,48,35,0,117,4,2,0,0,0,0.221
386,Ben Gamel,HOU,36,133,154,31,20,7,0,4,19,16,19,0,42,1,1,0,1,1,0.234
387,Tommy Pham,PIT,104,402,448,99,67,21,2,10,52,44,39,0,103,3,4,0,9,3,0.248
388,Emmanuel Rodriguez,MIN,15,52,63,11,6,3,1,2,10,7,10,0,23,1,0,0,1,1,0.211
389,Tirso Ornelas,SDP,71,281,308,68,46,14,1,7,32,35,23,1,66,2,2,0,2,1,0.241
390,Andruw Monasterio,MIL,24,93,105,22,16,4,0,1,13,10,11,0,27,1,1,0,3,1,0.24
391,Luis Matos,SFG,55,219,238,53,35,11,0,6,25,28,13,0,30,4,2,0,3,1,0.242
392,Nick Allen,ATL,24,94,105,23,18,4,0,1,11,11,8,0,16,1,0,1,2,1,0.249
393,Javier Sanoja,MIA,52,207,224,55,41,10,2,2,20,21,13,0,17,1,1,1,5,3,0.268
394,Eric Haase,MIL,32,118,128,26,17,4,0,5,14,19,9,0,45,0,1,0,0,0,0.219
395,Nathan Lukes,TOR,15,57,63,16,11,3,0,1,8,7,5,0,11,1,0,0,1,0,0.272
396,Hunter Renfroe,KCR,86,336,371,78,46,19,0,12,41,45,31,0,78,2,2,0,1,1,0.232
397,Nick Loftin,KCR,29,111,126,27,19,5,1,2,15,14,11,0,20,2,1,1,2,1,0.246
398,Sean Bouchard,COL,40,153,175,38,21,9,2,6,24,23,18,1,47,3,1,1,4,1,0.247
399,Anthony Rizzo,,57,215,245,49,32,9,0,8,26,27,21,1,49,8,1,0,1,1,0.227
400,Jacob Melton,HOU,37,150,161,32,21,6,0,5,19,19,10,0,45,1,0,0,7,1,0.216
401,Luke Keaschall,MIN,13,48,56,12,8,3,0,1,8,7,5,0,12,2,0,0,1,0,0.254
402,Liam Hicks,MIA,26,89,103,22,17,4,0,1,10,10,10,0,16,3,1,0,0,0,0.248
403,Luisangel Acuña,NYM,39,157,168,38,29,6,1,2,22,16,10,0,35,1,1,1,8,3,0.244
404,Randal Grichuk,ARI,62,246,266,61,38,13,1,8,32,32,17,0,55,3,1,0,1,1,0.247
405,Romy Gonzalez,BOS,19,78,84,20,13,4,1,3,10,12,5,0,23,1,1,0,3,1,0.259
406,Austin Barnes,LAD,36,124,141,26,20,4,0,2,13,11,13,0,32,2,1,2,2,0,0.211
407,Enrique Hernández,LAD,66,260,287,57,37,13,1,7,33,33,22,0,58,2,3,1,1,1,0.221
408,Austin Hedges,CLE,49,170,192,31,24,4,0,3,14,15,11,0,55,3,3,6,2,0,0.182
409,Orelvis Martinez,TOR,52,203,224,43,23,10,1,10,25,32,16,1,62,4,2,0,1,0,0.21
410,Nick Yorke,PIT,36,140,154,35,25,7,0,3,18,15,12,0,35,1,1,0,3,1,0.246
411,Tyler Locklear,SEA,23,86,98,20,12,4,0,3,12,12,8,0,28,3,1,0,1,0,0.228
412,Vaughn Grissom,BOS,16,62,70,16,12,3,0,1,9,8,6,0,13,1,0,0,2,0,0.261
413,Adrian Del Castillo,ARI,29,108,119,26,16,6,0,3,13,15,10,0,30,1,0,0,0,0,0.238
414,Leo Jiménez,TOR,11,42,49,10,7,2,0,1,6,6,4,0,10,3,0,0,0,0,0.234
415,Drew Waters,KCR,19,75,84,18,10,5,1,2,12,9,8,0,25,1,1,0,3,1,0.238
416,Billy Cook,PIT,21,83,91,19,12,4,1,3,10,11,6,0,25,1,1,0,3,1,0.232
417,Eloy Jiménez,TBR,28,110,119,29,20,5,0,4,11,14,8,0,24,1,1,0,1,0,0.26
418,David Hamilton,BOS,18,70,77,16,11,3,1,2,10,8,7,0,19,0,0,0,6,1,0.227
419,Chase DeLauter,CLE,16,63,70,16,10,5,0,2,8,9,6,0,11,0,1,0,1,0,0.257
420,Leo Rivas,SEA,16,59,70,13,10,2,0,1,9,5,9,0,17,1,1,1,3,1,0.22
421,Gage Workman,CHC,16,64,70,14,9,3,1,2,9,8,5,0,25,0,0,0,2,1,0.222
422,Daniel Schneemann,CLE,26,99,112,22,14,5,1,2,12,11,12,0,30,0,1,0,2,1,0.223
423,Andy Ibáñez,DET,45,181,196,43,29,9,1,4,22,21,13,0,40,2,1,0,1,1,0.239
