#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
331,Alan Rangel,PHI,0,22,27.2,121,1,1,0,0,0,,27,16,15,4,1,1,28,11,9.04,3.41,4.74,1.35
332,Yoendrys Gómez,NYY,0,20,27.1,118,1,1,0,0,1,,23,14,13,4,1,2,28,12,9.26,3.81,4.18,1.28
333,Jonathan Loáisiga,NYY,0,35,43.1,183,1,1,0,0,1,,44,22,20,5,1,2,28,11,5.9,2.35,4.21,1.27
334,Brooks Raley,,0,23,28.1,123,1,1,0,1,0,,27,15,14,4,1,2,29,10,9.21,3.26,4.57,1.33
335,Tayler Saucedo,SEA,0,57,72,310,2,2,0,1,12,,66,36,34,8,2,4,66,30,8.28,3.77,4.2,1.34
336,Jimmy Herget,COL,0,34,41.2,180,1,1,0,1,1,,43,24,23,6,1,2,37,12,7.95,2.64,4.89,1.32
337,Rob Zastryzny,CHC,1,19,23.1,101,1,1,0,0,1,,22,12,12,3,1,1,23,9,8.68,3.65,4.47,1.35
338,Noah Murdock,ATH,0,29,36.2,161,1,1,0,0,0,,31,18,16,3,1,3,35,20,8.67,4.87,4,1.39
339,Jack O'Loughlin,COL,0,18,21.2,96,0,1,0,0,0,,22,12,11,2,1,1,19,9,7.83,3.64,4.51,1.43
340,Elvis Alvarado,ATH,0,18,23,99,1,1,0,0,0,,19,11,11,3,1,2,24,11,9.52,4.31,4.15,1.32
341,Lucas Sims,,0,48,60,261,3,3,0,1,0,,49,32,29,8,1,4,66,31,9.85,4.61,4.41,1.32
342,Enoli Paredes,ATL,0,19,24.1,105,1,0,0,0,0,,20,11,11,2,1,2,26,13,9.62,4.96,3.93,1.36
343,Kyle Nicolas,PIT,0,53,66.1,293,2,1,0,1,11,,61,37,34,8,2,4,68,34,9.2,4.61,4.69,1.43
344,Matt Barnes,,0,26,32.2,141,1,2,0,0,0,,31,18,17,4,1,2,29,12,7.93,3.36,4.57,1.33
345,Justin Hagenman,NYM,0,14,17.1,72,1,0,0,0,0,,15,8,8,2,0,1,17,5,8.91,2.77,4.1,1.2
346,Lyon Richardson,CIN,1,14,18.1,80,1,1,0,0,1,,18,10,9,2,0,1,17,7,8.43,3.62,4.56,1.37
347,Génesis Cabrera,NYM,0,33,40.2,174,1,1,0,0,1,,36,21,19,5,1,2,35,16,7.68,3.61,4.27,1.3
348,Riley Pint,CLE,0,16,20.1,90,1,0,0,0,1,,14,9,8,1,0,2,26,16,11.65,6.89,3.68,1.47
349,Tyler Gilbert,CHW,1,24,29.2,129,1,1,0,0,1,,29,16,15,4,1,1,27,11,8.12,3.31,4.48,1.35
350,Keynan Middleton,,0,12,15,64,1,1,0,0,0,,13,7,7,2,0,1,16,6,9.67,3.78,4.05,1.26
351,Mason Thompson,WSN,0,45,55.2,242,2,2,0,1,6,,54,30,28,6,1,3,44,22,7.03,3.59,4.51,1.37
352,Ben Casparius,LAD,1,14,21.1,92,1,1,0,0,1,,19,12,11,3,0,1,23,10,9.6,4.05,4.58,1.33
353,Brett de Geus,PIT,0,18,22.1,98,1,0,0,0,1,,24,12,11,2,1,2,16,8,6.29,3,4.54,1.4
354,Justin Wilson,BOS,0,51,64.1,279,2,1,0,1,7,,60,35,32,9,1,3,62,29,8.67,4.02,4.55,1.37
355,Tommy Henry,ARI,1,19,26.1,115,1,1,0,0,1,,25,14,13,3,1,1,24,11,8.14,3.84,4.54,1.38
356,Drew Smith,,0,11,14.1,61,1,1,0,0,0,,12,7,7,2,0,1,15,6,9.4,3.55,4.18,1.25
357,Daniel Bard,,0,16,20.2,89,1,1,0,0,0,,17,10,9,2,0,2,20,10,8.93,4.54,4.04,1.32
358,Lael Lockhart,DET,0,10,12,52,0,0,0,0,0,,10,6,5,1,0,1,13,5,9.3,3.88,3.87,1.28
359,Roansy Contreras,BAL,1,25,30,127,1,1,0,0,1,,27,16,15,4,1,1,25,11,7.6,3.29,4.38,1.27
360,Bruce Zimmermann,MIL,0,11,13.1,56,0,0,0,0,1,,13,7,6,2,0,1,13,4,8.49,2.66,4.16,1.26
361,Amos Willingham,ATL,0,19,24,103,1,0,0,0,1,,24,13,12,3,1,1,20,8,7.72,2.85,4.4,1.31
362,Kevin Herget,NYM,0,25,31.2,138,1,1,0,0,1,,32,19,17,5,1,1,30,10,8.58,2.91,4.9,1.34
363,Yohan Ramírez,PIT,0,25,31,135,1,1,0,0,1,,28,16,15,3,1,3,28,14,8.1,4.03,4.29,1.35
364,Phil Bickford,CHC,0,8,10.1,44,0,0,0,0,0,,9,5,5,1,0,1,10,3,8.88,3,4.11,1.2
365,Huascar Brazobán,NYM,0,39,49,215,2,1,0,0,1,,43,26,24,6,1,3,48,25,8.83,4.65,4.47,1.39
366,Andrew Alvarez,WSN,0,9,10.1,44,0,0,0,0,0,,9,4,4,1,0,0,9,4,7.5,3.38,3.58,1.28
367,Brent Suter,CIN,1,53,65.2,281,2,2,0,0,10,,65,35,33,9,1,3,52,22,7.13,2.96,4.51,1.32
368,Jacob Barnes,,0,43,54,235,2,3,0,0,0,,54,31,29,7,1,3,46,20,7.63,3.26,4.75,1.37
369,Jaden Hill,COL,0,28,34.2,153,1,1,0,0,1,,35,20,18,4,1,2,33,14,8.48,3.74,4.79,1.42
370,Cristian Javier,HOU,1,18,24.1,103,1,1,0,0,1,,20,13,12,4,0,1,24,10,8.8,3.68,4.4,1.22
371,JT Brubaker,NYY,3,30,52.2,232,1,1,0,0,1,,55,32,30,8,1,4,47,19,7.99,3.28,5.15,1.42
372,Austin Davis,SDP,0,19,23.1,102,1,1,0,0,1,,20,12,11,3,1,2,24,12,9.5,4.64,4.34,1.38
373,Justin Sterner,ATH,0,42,52,222,2,2,0,0,7,,45,28,26,9,2,3,56,20,9.75,3.5,4.55,1.25
374,Enyel De Los Santos,ATL,0,27,33.1,145,1,1,0,0,1,,32,18,17,5,1,2,32,13,8.6,3.38,4.62,1.34
375,Bailey Horn,STL,0,19,23.2,103,1,1,0,0,1,,21,12,11,3,1,1,23,11,8.53,4.18,4.25,1.36
376,Chris Devenski,NYM,0,17,21.1,89,1,0,0,0,1,,19,11,11,3,0,1,21,7,8.91,2.85,4.55,1.21
377,Trevor Gott,,0,15,19.1,83,1,1,0,0,0,,19,11,10,3,0,1,18,7,8.17,3.05,4.57,1.31
378,Yunior Marte,,0,22,27,116,1,1,0,0,0,,25,14,13,3,1,1,23,11,7.62,3.57,4.32,1.32
379,Kendall Graveman,,0,43,54,234,2,3,0,2,0,,51,29,27,7,1,4,50,23,8.38,3.81,4.46,1.36
380,Patrick Murphy,TEX,0,10,12.1,54,0,0,0,0,0,,12,6,6,1,0,1,12,6,8.78,4.05,4.25,1.37
381,Randy Dobnak,MIN,0,13,16.2,73,1,0,0,0,0,,17,9,8,2,0,1,14,7,7.46,3.66,4.48,1.41
382,Easton Lucas,TOR,0,16,20,86,1,1,0,0,1,,18,10,10,3,1,1,20,8,8.74,3.59,4.26,1.3
383,Steven Okert,HOU,0,26,32,138,1,1,0,0,1,,27,17,16,5,1,2,34,14,9.64,3.79,4.47,1.27
384,Casey Legumina,SEA,0,12,14.1,61,0,0,0,0,1,,13,7,7,2,0,1,13,5,8.22,2.98,4.1,1.24
385,Austin Voth,,0,47,58,252,3,3,0,0,0,,57,33,31,9,1,3,55,21,8.53,3.28,4.77,1.34
386,Giovanny Gallegos,LAD,0,30,38,161,1,1,0,1,1,,36,21,19,6,1,2,34,11,8.16,2.68,4.57,1.24
387,Miguel Díaz,SFG,0,11,13,56,1,0,0,0,0,,12,7,6,2,0,1,13,5,8.85,3.7,4.45,1.33
388,Grant Hartwig,NYM,0,10,12.2,55,0,0,0,0,0,,12,6,6,1,0,1,11,5,8.01,3.67,4.14,1.32
389,Joey Lucchesi,SFG,1,8,11,47,0,1,0,0,1,,11,6,5,1,0,0,8,4,6.96,3.68,4.48,1.39
390,Jake Eder,CHW,1,16,23.1,103,1,1,0,0,1,,22,13,12,3,1,1,22,11,8.27,4.25,4.52,1.42
391,Kyle Leahy,STL,0,47,59,261,2,2,0,1,10,,61,34,32,7,1,3,49,24,7.53,3.66,4.86,1.44
392,Joe La Sorsa,CIN,0,17,21.2,92,1,1,0,0,1,,21,11,10,3,1,1,17,6,6.83,2.39,4.21,1.24
393,Chris Murphy,BOS,0,8,9.2,42,0,0,0,0,0,,9,5,5,1,0,0,9,4,8.68,3.77,4.14,1.32
394,Huascar Ynoa,MIN,0,13,17,73,1,0,0,0,1,,16,9,9,2,0,1,16,7,8.53,3.54,4.57,1.36
395,Anthony Veneziano,MIA,0,45,56.2,248,2,2,0,0,6,,54,30,28,7,2,3,52,24,8.22,3.88,4.46,1.39
396,Austin Warren,NYM,0,12,14.2,62,0,0,0,0,1,,13,7,7,2,0,1,13,6,7.99,3.51,4.27,1.31
397,Taylor Clarke,KCR,0,12,14.2,63,0,0,0,0,1,,15,8,8,2,0,1,12,4,7.65,2.65,4.66,1.3
398,Connor Brogdon,LAA,0,18,22.2,96,1,1,0,0,1,,20,12,11,4,1,1,22,8,8.78,3.16,4.44,1.25
399,Ron Marinaccio,SDP,0,26,32,139,1,1,0,0,1,,27,17,16,4,1,2,33,16,9.39,4.6,4.47,1.34
400,Jose E. Hernandez,LAD,0,9,11.1,48,0,0,0,0,1,,10,6,5,1,0,0,11,5,8.95,3.67,4.28,1.3
