#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
149,Josh Naylor,ARI,141,546,609,146,91,31,1,22,73,80,52,2,94,6,5,0,9,2,0.267
150,Jorge Polanco,SEA,126,484,546,109,71,19,1,18,60,61,55,1,142,4,4,0,6,2,0.225
151,Seiya Suzuki,CHC,130,495,560,130,81,24,4,20,76,68,56,2,142,4,4,0,11,5,0.262
152,Maikel Garcia,KCR,138,540,595,138,99,29,4,7,67,48,46,0,107,0,6,2,31,6,0.257
153,Tyler Fitzgerald,SFG,136,538,588,124,77,25,3,19,66,66,36,1,183,9,4,1,21,5,0.231
154,Ryan McMahon,COL,147,564,637,135,83,28,2,22,64,65,65,1,182,3,4,0,6,3,0.24
155,Evan Carter,TEX,120,448,518,106,69,21,4,12,69,50,59,1,125,6,5,0,16,4,0.238
156,Tyler Stephenson,CIN,121,437,490,111,74,22,1,15,55,53,44,1,113,6,3,0,1,1,0.254
157,Victor Robles,SEA,128,485,553,117,83,24,2,8,62,48,40,1,118,15,4,9,37,8,0.241
158,Parker Meadows,DET,122,473,525,109,70,20,6,13,68,49,42,0,128,3,5,1,19,6,0.231
159,Luis Arraez,SDP,149,596,644,182,143,31,3,6,72,49,38,2,36,5,4,1,7,3,0.306
160,Adolis García,TEX,143,559,616,132,76,26,2,29,72,86,47,1,173,6,5,0,13,4,0.237
161,Dylan Moore,SEA,94,347,406,72,42,16,2,12,51,45,45,1,117,11,3,1,26,8,0.208
162,Paul Goldschmidt,NYY,147,570,637,139,85,27,0,26,75,86,61,2,168,3,3,0,9,2,0.243
163,Brayan Rocchio,CLE,134,519,581,121,84,27,2,8,57,47,47,0,111,8,5,1,16,6,0.234
164,Ke'Bryan Hayes,PIT,136,540,588,137,95,28,3,12,62,52,41,1,115,3,4,0,15,4,0.255
165,Nolan Gorman,STL,113,442,490,103,59,19,1,25,53,66,42,1,155,2,4,0,6,1,0.233
166,Danny Jansen,TBR,91,314,359,71,42,15,1,13,41,44,37,1,72,6,3,0,1,0,0.227
167,George Springer,TOR,141,543,609,132,86,24,2,20,74,69,57,1,116,6,3,0,15,4,0.242
168,Giancarlo Stanton,NYY,84,326,364,81,41,15,0,25,49,68,34,2,110,2,2,0,1,0,0.248
169,Jake Meyers,HOU,100,391,434,93,62,18,2,11,50,45,32,0,103,7,3,1,10,2,0.237
170,Jake McCarthy,ARI,120,465,518,123,88,20,7,8,73,42,36,1,93,9,4,3,26,6,0.264
171,Michael Conforto,LAD,115,440,497,108,64,22,1,20,65,71,46,2,117,7,3,0,2,1,0.244
172,Jake Cronenworth,SDP,139,533,602,125,81,27,4,14,73,58,54,1,108,10,4,0,5,2,0.236
173,Brice Turang,MIL,134,522,581,126,93,22,3,8,61,43,51,0,106,1,5,2,38,6,0.242
174,Jose Siri,NYM,96,376,413,81,46,15,2,18,50,57,28,0,146,4,3,1,16,4,0.215
175,Trevor Story,BOS,141,550,609,125,77,27,2,19,67,69,49,0,174,6,4,0,27,6,0.227
176,TJ Friedl,CIN,131,500,567,122,82,21,5,14,71,53,46,1,93,12,5,4,16,5,0.244
177,Nick Gonzales,PIT,117,455,504,114,73,26,4,10,59,48,36,1,119,8,4,1,5,2,0.25
178,Michael Massey,KCR,120,478,518,120,76,27,2,16,56,60,28,1,98,5,5,2,5,1,0.252
179,Joey Ortiz,MIL,146,565,630,137,87,31,5,14,76,63,52,1,130,6,6,1,13,4,0.242
180,Lane Thomas,CLE,138,538,595,127,78,29,3,17,65,63,46,1,153,6,5,0,25,10,0.236
181,Kerry Carpenter,DET,115,452,497,116,70,20,3,22,62,64,34,2,123,7,4,0,4,2,0.256
182,Orlando Arcia,ATL,138,544,595,129,85,26,1,17,66,71,44,0,121,3,5,0,2,1,0.237
183,Tommy Edman,LAD,141,555,609,134,90,27,3,14,74,67,43,1,110,6,4,1,23,5,0.242
184,LaMonte Wade Jr.,SFG,113,414,490,101,67,19,1,14,59,49,64,2,103,6,3,2,3,1,0.244
185,Keibert Ruiz,WSN,122,445,480,114,77,24,0,13,44,48,26,0,52,5,4,0,4,2,0.256
186,Chase Meidroth,CHW,73,264,315,64,48,12,1,4,32,20,43,1,58,6,2,0,5,1,0.244
187,Freddy Fermin,KCR,70,250,275,64,45,12,1,6,29,26,21,0,53,2,2,1,1,0,0.255
188,Michael Busch,CHC,128,485,553,114,68,24,1,20,65,67,56,1,153,7,4,0,2,1,0.235
189,Kyle Isbel,KCR,126,494,546,119,78,25,5,10,68,50,38,0,112,6,4,4,14,4,0.24
190,Leody Taveras,TEX,78,305,336,75,50,15,2,9,39,35,26,0,73,1,3,1,13,3,0.247
191,Connor Norby,MIA,136,534,588,127,82,26,2,17,56,57,44,1,167,4,5,0,10,4,0.238
192,Jonah Heim,TEX,84,305,333,72,48,14,1,10,35,36,24,0,62,2,2,0,2,1,0.237
193,Joey Bart,PIT,96,340,379,84,55,17,1,12,39,40,29,1,107,7,2,0,1,0,0.247
194,Jonny DeLuca,TBR,109,424,469,97,60,21,3,14,56,52,34,0,96,6,3,1,18,4,0.229
195,Tyler Soderstrom,ATH,122,477,522,112,63,23,2,24,58,69,35,1,144,5,4,0,1,0,0.235
196,Hyeseong Kim,LAD,91,363,392,101,79,15,2,5,45,39,23,1,63,2,2,1,15,3,0.278
197,Thairo Estrada,COL,120,481,518,128,88,24,2,14,51,48,24,0,100,9,3,0,11,4,0.266
198,Miguel Vargas,CHW,115,431,497,99,63,22,1,12,50,44,56,1,104,5,5,0,11,3,0.229
199,Matt Vierling,DET,110,431,476,108,74,20,3,11,55,43,38,1,98,3,4,0,7,3,0.251
200,Trevor Larnach,MIN,109,411,469,98,61,19,1,17,56,56,49,1,127,4,4,0,4,1,0.239
201,Miguel Amaya,CHC,83,288,326,69,45,14,1,9,38,34,27,1,67,7,3,2,0,0,0.239
202,Yoán Moncada,LAA,120,466,518,111,72,23,2,15,60,57,45,1,146,4,3,0,4,1,0.239
203,Jacob Young,WSN,130,506,560,121,94,22,3,2,51,31,35,0,105,10,4,6,33,7,0.239
204,Luis Urías,ATH,78,292,336,67,44,13,1,9,35,32,34,0,74,8,3,0,3,1,0.229
205,Jeff McNeil,NYM,121,475,525,120,87,25,1,7,57,48,35,1,69,10,3,1,6,1,0.252
206,Carson Kelly,CHC,76,269,301,62,42,11,1,7,32,28,26,0,61,4,2,0,1,0,0.229
207,Chas McCormick,HOU,104,400,448,96,64,16,1,15,52,49,37,1,119,7,3,1,15,5,0.241
208,Edouard Julien,MIN,71,259,308,58,37,11,1,9,36,31,44,1,98,2,2,0,5,1,0.223
209,Otto Lopez,MIA,112,445,483,117,85,23,3,5,48,34,29,0,87,4,4,1,17,5,0.262
210,Jurickson Profar,ATL,147,555,637,138,93,28,1,16,81,72,66,2,107,10,4,2,7,2,0.249
211,Kyle Higashioka,TEX,81,298,322,67,39,13,1,14,34,43,19,0,87,1,2,1,2,1,0.225
212,Josh Smith,TEX,87,329,378,79,54,16,1,7,43,35,34,1,78,11,3,1,8,2,0.239
213,Jace Jung,DET,84,317,364,70,44,14,1,10,40,36,42,1,99,2,3,0,1,0,0.221
