#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%
18,Aroldis Chapman,BOS,0,64,64,268,3,3,0,12,9,0,45,24,22,6,0,3,90,36,12.61,5,3.13,1.25,33.58208955,13.43283582
19,Justin Martinez,ARI,0,68,68,286,4,3,0,19,8,0,52,25,23,4,0,3,83,36,11,4.82,3.08,1.3,29.02097902,12.58741259
20,Chris Martin,TEX,0,58,58,237,3,3,0,20,6,0,51,23,21,6,0,2,59,14,9.23,2.11,3.32,1.11,24.89451477,5.907172996
21,Raisel Iglesias,ATL,0,68,68,281,4,3,0,32,1,0,58,28,25,8,0,3,75,20,9.89,2.65,3.34,1.14,26.69039146,7.117437722
22,Trevor Megill,MIL,0,64,64,265,3,3,0,28,2,0,49,25,23,7,0,3,76,25,10.71,3.58,3.24,1.17,28.67924528,9.433962264
23,Robert Garcia,TEX,0,64,64,268,3,3,0,8,10,0,51,25,23,7,0,3,74,24,10.37,3.41,3.28,1.18,27.6119403,8.955223881
24,Jeremiah Estrada,SDP,0,63,63,261,3,3,0,3,13,0,45,23,21,7,0,3,86,29,12.23,4.12,3.04,1.17,32.95019157,11.11111111
25,Camilo Doval,SFG,0,62,62,260,3,3,0,10,12,0,49,23,21,4,0,3,74,28,10.71,4.08,3.06,1.25,28.46153846,10.76923077
26,A.J. Puk,ARI,0,65,65,271,3,3,0,16,8,0,55,27,24,7,0,3,75,23,10.34,3.18,3.37,1.19,27.67527675,8.487084871
27,Ben Joyce,LAA,0,63,63,265,3,3,0,25,5,0,45,24,22,6,0,3,75,32,10.69,4.57,3.1,1.23,28.30188679,12.0754717
28,Luke Weaver,NYY,0,68,68,284,4,3,0,6,13,0,54,27,25,9,0,3,77,23,10.13,3.04,3.32,1.13,27.11267606,8.098591549
29,Jason Adam,SDP,0,68,68,283,4,3,0,3,12,0,53,26,24,7,0,3,77,25,10.22,3.36,3.15,1.15,27.20848057,8.833922261
30,Keegan Akin,BAL,0,70,70,290,4,3,0,2,16,0,58,28,26,8,0,3,79,21,10.14,2.65,3.31,1.13,27.24137931,7.24137931
31,Aaron Bummer,ATL,0,61,61,255,3,3,0,1,14,0,53,25,23,4,0,3,68,25,9.98,3.62,3.33,1.27,26.66666667,9.803921569
32,Ryan Pressly,CHC,0,61,61,254,3,3,0,25,5,0,55,26,24,6,0,3,63,20,9.25,3.01,3.54,1.23,24.80314961,7.874015748
33,Lucas Erceg,KCR,0,67,67,282,4,3,0,11,10,0,57,28,26,5,0,3,70,30,9.47,3.99,3.5,1.29,24.82269504,10.63829787
34,Jesus Tinoco,MIA,0,64,64,272,3,3,0,6,10,0,56,28,25,7,0,3,68,24,9.62,3.37,3.54,1.26,25,8.823529412
35,Pete Fairbanks,TBR,0,60,60,250,3,3,0,22,7,0,46,22,21,6,0,3,68,23,10.22,3.51,3.08,1.16,27.2,9.2
36,Kevin Ginkel,ARI,0,62,62,258,3,3,0,3,14,0,55,26,24,6,0,3,66,20,9.56,2.92,3.45,1.22,25.58139535,7.751937984
37,Hunter Harvey,KCR,0,60,60,250,3,3,0,2,14,0,52,25,23,6,0,3,63,20,9.51,2.98,3.46,1.2,25.2,8
38,Blake Treinen,LAD,0,59,59,246,3,3,0,5,14,0,50,24,22,7,0,3,66,18,10.08,2.8,3.4,1.16,26.82926829,7.317073171
39,Anthony Bender,MIA,0,60,60,254,3,3,0,5,12,0,53,25,23,5,0,3,64,22,9.58,3.37,3.44,1.25,25.19685039,8.661417323
40,Jose Alvarado,PHI,0,60,60,253,3,3,0,3,10,0,48,23,21,5,0,3,70,26,10.57,3.89,3.15,1.23,27.66798419,10.27667984
41,Yimi Garcia,TOR,0,61,61,252,3,3,0,3,14,0,48,23,21,7,0,3,69,20,10.21,2.95,3.17,1.11,27.38095238,7.936507937
42,Garrett Whitlock,BOS,0,66,66,273,3,3,0,0,14,0,59,28,25,7,0,3,68,17,9.22,2.29,3.46,1.15,24.90842491,6.227106227
43,Ian Hamilton,NYY,0,60,60,254,3,3,0,1,15,0,48,24,22,6,0,3,66,25,9.89,3.69,3.27,1.22,25.98425197,9.842519685
44,A.J. Minter,NYM,0,56,56,232,3,3,0,2,12,0,45,23,21,6,0,2,62,20,9.98,3.2,3.32,1.16,26.72413793,8.620689655
45,Justin Slaten,BOS,0,65,65,276,3,3,0,2,15,0,56,28,25,7,0,3,71,25,9.78,3.44,3.52,1.24,25.72463768,9.057971014
46,Cole Sands,MIN,0,64,64,267,3,3,0,1,15,0,54,27,24,8,0,3,69,20,9.76,2.82,3.44,1.16,25.84269663,7.490636704
47,Gregory Santos,SEA,0,62,62,260,3,3,0,5,13,0,51,23,21,5,0,3,63,23,9.13,3.27,3.09,1.19,24.23076923,8.846153846
48,Pierce Johnson,ATL,0,64,64,270,3,3,0,2,12,0,53,28,26,7,0,3,76,28,10.62,3.91,3.63,1.27,28.14814815,10.37037037
