#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%
48,Clay Holmes,NYM,21,52,151,649,5,3,14,0,1,,136,60,55,10,,7,153,59,9.08,3.49,3.26,1.29,23.57473035,9.090909091
49,Joe Ryan,MIN,28,28,157,644,11,8,16,0,0,,131,68,62,24,,6,171,38,9.78,2.15,3.53,1.07,26.55279503,5.900621118
50,Shohei Ohtani,LAD,21,21,121,499,9,6,13,0,0,,94,46,42,15,,5,149,41,11.04,3.01,3.15,1.11,29.85971944,8.216432866
51,Shane McClanahan,TBR,26,34,159,649,8,6,15,0,1,,138,69,63,19,,7,165,46,9.34,2.59,3.56,1.16,25.42372881,7.087827427
52,Kumar Rocker,TEX,23,36,137,577,6,4,14,0,1,,117,56,51,16,,6,155,44,10.16,2.91,3.36,1.17,26.86308492,7.625649913
53,Carlos Rodon,NYY,31,31,175,731,12,10,17,0,0,,144,81,74,27,,8,195,61,10.05,3.12,3.8,1.17,26.67578659,8.344733242
54,MacKenzie Gore,WSN,31,31,173,728,11,11,16,0,0,,162,88,80,21,,8,175,65,9.09,3.37,4.18,1.31,24.03846154,8.928571429
55,Ranger Suarez,PHI,28,40,164,691,7,6,15,0,1,,160,80,73,18,,7,146,51,8.01,2.8,4,1.28,21.12879884,7.380607815
56,Taj Bradley,TBR,29,29,171,718,12,9,17,0,0,,147,75,69,22,,7,181,57,9.52,2.98,3.63,1.19,25.20891365,7.938718663
57,Bryce Miller,SEA,31,31,174,725,13,9,18,0,0,,149,73,67,23,,7,171,47,8.85,2.46,3.48,1.13,23.5862069,6.482758621
58,Kodai Senga,NYM,26,36,162,629,8,6,16,0,1,,132,88,63,18,,5,178,69,9.91,3.86,3.52,1.25,28.29888712,10.96979332
59,Nick Pivetta,,29,29,163,682,11,10,15,0,0,,142,69,72,24,,8,181,55,9.99,3.02,3.97,1.21,26.53958944,8.064516129
60,Bailey Ober,MIN,29,29,172,679,11,10,16,0,0,,156,78,75,27,,7,175,43,9.17,2.26,3.91,1.16,25.77319588,6.332842415
61,Roki Sasaki,LAD,24,24,136,720,0,0,9,0,0,,140,82,83,15,,7,118,37,7.86,2.49,5.51,1.31,16.38888889,5.138888889
62,Bryan Woo,SEA,26,26,144,595,11,7,16,0,0,,119,57,52,18,,6,144,36,9.04,2.24,3.24,1.08,24.20168067,6.050420168
63,Jesus Luzardo,PHI,26,41,161,678,6,6,14,0,1,,148,78,71,22,,7,166,51,9.3,2.86,3.98,1.24,24.48377581,7.522123894
64,Reese Olson,DET,26,26,144,613,10,8,15,0,0,,130,63,58,15,,6,138,48,8.61,2.99,3.6,1.24,22.51223491,7.830342577
65,Reynaldo Lopez,ATL,31,31,178,748,11,10,16,0,0,,163,88,81,23,,8,181,63,9.14,3.21,4.09,1.28,24.19786096,8.422459893
66,Nick Lodolo,CIN,23,23,125,527,8,7,12,0,0,,116,60,55,16,,5,130,41,9.34,2.93,3.96,1.25,24.66793169,7.779886148
67,Ryan Pepiot,TBR,29,29,166,701,12,9,17,0,0,,138,72,66,22,,7,178,59,9.63,3.22,3.59,1.19,25.39229672,8.416547789
68,Drew Rasmussen,TBR,19,43,130,540,4,3,12,0,1,,112,50,46,13,,5,134,35,9.24,2.4,3.18,1.13,24.81481481,6.481481481
69,Gavin Williams,CLE,26,26,143,609,10,8,15,0,0,,121,62,56,16,,7,150,57,9.49,3.59,3.57,1.25,24.63054187,9.359605911
70,David Peterson,NYM,26,34,152,649,8,6,14,0,1,,142,71,65,15,,7,144,59,8.55,3.48,3.85,1.32,22.18798151,9.090909091
71,Robbie Ray,SFG,28,28,158,667,11,9,15,0,0,,137,73,67,21,,7,176,59,10.03,3.37,3.81,1.24,26.3868066,8.845577211
72,Yu Darvish,SDP,29,29,169,707,11,10,15,0,0,,156,82,75,23,,7,159,50,8.46,2.64,4.01,1.21,22.4893918,7.072135785
73,Sean Manaea,NYM,31,31,180,765,12,10,17,0,0,,160,87,79,25,,8,177,65,8.89,3.24,3.97,1.25,23.1372549,8.496732026
74,Jose Soriano,LAA,26,26,148,636,10,9,14,0,0,,134,70,64,14,,7,139,65,8.5,3.99,3.91,1.35,21.85534591,10.22012579
