#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%
131,Walker Buehler,BOS,26,32,142,610,7,8,9,0,0,0,144,77,71,20,1,6,121,46,7.66,2.94,4.49,1.34,19.83606557,7.540983607
132,Charlie Morton,BAL,26,26,147.2,639,9,9,10,0,0,0,138,77,71,20,1,11,148,60,9.01,3.63,4.33,1.34,23.16118936,9.389671362
133,Jose Quintana,,23,24,131.1,568,7,7,9,0,0,0,132,69,63,16,1,5,104,49,7.15,3.34,4.33,1.37,18.30985915,8.626760563
134,Steven Matz,STL,16,30,101.1,430,5,6,4,0,1,0,101,50,46,13,1,4,88,31,7.78,2.73,4.12,1.3,20.46511628,7.209302326
135,Eury Perez,MIA,14,14,72.1,299,4,5,5,0,0,0,63,34,31,11,0,3,82,23,10.16,2.89,3.86,1.19,27.42474916,7.692307692
136,Antonio Senzatela,COL,21,25,111.1,492,4,7,6,0,0,0,130,70,64,16,1,4,73,34,5.88,2.74,5.21,1.47,14.83739837,6.910569106
137,Hayden Birdsong,SFG,19,32,109.1,468,7,7,5,0,1,0,94,55,51,14,1,5,120,51,9.87,4.16,4.17,1.32,25.64102564,10.8974359
138,Bailey Falter,PIT,24,32,132,564,7,9,7,0,0,0,136,74,68,20,1,4,98,40,6.69,2.7,4.62,1.33,17.37588652,7.092198582
139,Lance Lynn,,21,22,114,488,7,8,8,0,0,0,112,62,57,19,1,5,108,39,8.51,3.1,4.52,1.33,22.13114754,7.991803279
140,Dustin May,LAD,10,34,78.2,328,6,4,5,0,1,0,68,35,32,8,1,4,75,27,8.62,3.12,3.69,1.21,22.86585366,8.231707317
141,Zebby Matthews,MIN,12,29,80.1,333,4,5,4,0,1,0,80,41,37,12,1,3,76,16,8.51,1.8,4.19,1.2,22.82282282,4.804804805
142,Matt Waldron,SDP,20,21,116.2,496,6,7,7,0,0,0,117,66,61,18,1,6,96,34,7.39,2.59,4.7,1.29,19.35483871,6.85483871
143,Davis Martin,CHW,24,25,129.2,559,5,9,8,0,0,0,127,71,65,19,2,7,114,48,7.94,3.32,4.55,1.35,20.39355993,8.586762075
144,Javier Assad,CHC,22,34,131,565,7,6,7,0,1,0,127,67,62,17,1,5,109,51,7.48,3.48,4.25,1.36,19.2920354,9.026548673
145,Yariel Rodriguez,TOR,14,37,92.1,394,4,6,4,0,1,0,79,46,43,12,1,5,96,41,9.34,4.03,4.17,1.31,24.36548223,10.40609137
146,Grant Holmes,ATL,14,33,97.2,413,6,5,4,0,1,1,95,48,44,13,2,4,92,30,8.49,2.79,4.1,1.28,22.27602906,7.263922518
147,Quinn Mathews,STL,15,16,82,350,5,5,7,0,0,0,76,40,37,10,0,4,76,32,8.35,3.48,4.08,1.31,21.71428571,9.142857143
148,Alec Marsh,KCR,18,26,104.2,452,6,8,6,0,0,0,102,59,54,15,1,7,100,38,8.63,3.25,4.65,1.34,22.12389381,8.407079646
149,Joey Cantillo,CLE,13,27,84.1,360,5,6,5,0,1,0,74,41,38,10,1,3,89,38,9.48,4.08,4.06,1.33,24.72222222,10.55555556
150,Lucas Giolito,BOS,18,27,106.1,453,6,7,7,0,0,0,101,58,53,17,1,4,109,39,9.21,3.28,4.5,1.32,24.06181015,8.609271523
151,Max Meyer,MIA,21,26,117.1,508,6,8,8,0,0,0,119,66,60,18,1,5,101,42,7.75,3.2,4.63,1.37,19.88188976,8.267716535
152,Randy Vasquez,SDP,22,26,120,524,6,7,7,0,0,0,127,68,62,17,1,7,89,40,6.66,3.03,4.69,1.4,16.98473282,7.633587786
153,Johan Oviedo,PIT,18,26,108,470,6,7,7,0,0,0,103,58,54,13,1,6,92,46,7.7,3.87,4.49,1.39,19.57446809,9.787234043
154,Kyle Hendricks,LAA,22,22,120.1,519,5,8,7,0,0,0,131,73,67,20,1,5,84,34,6.27,2.58,5,1.37,16.1849711,6.55105973
155,Jordan Montgomery,ARI,16,30,104.1,446,7,6,7,0,1,0,108,55,50,13,1,3,82,32,7.09,2.73,4.35,1.34,18.38565022,7.174887892
156,Bubba Chandler,PIT,17,17,92,397,5,6,6,0,0,0,87,49,45,12,0,4,85,38,8.31,3.74,4.45,1.37,21.41057935,9.571788413
157,Luis Garcia,HOU,14,28,90.2,378,6,5,5,0,2,0,82,45,42,14,0,3,90,29,8.93,2.9,4.14,1.23,23.80952381,7.671957672
158,Jonathan Cannon,CHW,26,29,153,660,7,11,9,0,0,0,157,88,81,23,1,6,113,52,6.68,3.08,4.78,1.37,17.12121212,7.878787879
159,Luis L. Ortiz,CLE,22,32,141.2,607,8,8,8,0,1,1,137,75,69,20,1,7,116,52,7.4,3.29,4.4,1.33,19.11037891,8.566721582
160,JP Sears,ATH,30,30,172.1,729,9,11,11,0,0,0,168,96,88,30,2,11,140,49,7.3,2.53,4.61,1.26,19.20438957,6.721536351
161,Michael Lorenzen,KCR,20,39,129.2,563,7,8,8,0,0,0,125,70,64,17,1,5,101,54,7.03,3.78,4.46,1.38,17.93960924,9.591474245
162,Paul Blackburn,NYM,13,35,92,393,5,5,5,0,1,0,92,48,45,12,1,4,78,29,7.66,2.85,4.36,1.32,19.84732824,7.37913486
163,Cade Cavalli,WSN,14,28,87.2,377,5,5,6,0,1,0,81,45,42,11,1,6,82,36,8.45,3.66,4.28,1.33,21.75066313,9.549071618
164,DL Hall,MIL,10,41,84.1,366,5,4,3,0,4,0,77,43,39,11,1,4,89,39,9.47,4.16,4.2,1.38,24.31693989,10.6557377
165,Ben Brown,CHC,4,25,47.1,196,3,2,2,0,2,0,39,20,19,5,0,2,55,18,10.41,3.35,3.58,1.19,28.06122449,9.183673469
