#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
20,Trevor Megill,MIL,0,64,64,265,3,3,0,28,2,,52,26,25,7,2,3,79,23,11.09,3.19,3.45,1.16
21,Ryan Walker,SFG,0,68,68,279,4,3,0,28,5,,55,25,23,6,1,4,81,22,10.66,2.85,3.05,1.13
22,Aaron Bummer,ATL,0,61,61,254,4,2,0,1,14,,52,23,21,4,2,3,68,24,10.06,3.54,3.09,1.25
23,Justin Martinez,ARI,0,68,68,286,4,3,0,19,8,,53,26,24,5,2,3,85,34,11.23,4.56,3.11,1.29
24,David Robertson,,0,65,65,272,4,3,0,0,0,,53,26,24,6,2,3,80,25,11.09,3.52,3.28,1.2
25,José Alvarado,PHI,0,60,60,252,3,3,0,3,10,,49,24,22,6,2,3,70,27,10.52,4.07,3.29,1.26
26,Chris Martin,TEX,0,58,58,237,3,3,0,19,6,,53,23,21,6,1,2,60,12,9.3,1.8,3.31,1.12
27,Jason Adam,SDP,0,68,68,282,4,3,0,3,12,,55,28,26,8,2,4,79,24,10.46,3.16,3.44,1.16
28,Fernando Cruz,NYY,0,61,61,254,3,3,0,0,13,,47,25,23,7,1,2,81,25,11.91,3.68,3.35,1.17
29,Jeremiah Estrada,SDP,0,63,63,261,3,3,0,3,13,,47,25,23,7,2,2,82,28,11.78,3.94,3.26,1.18
30,Hunter Harvey,KCR,0,60,60,250,3,3,0,2,14,,53,26,24,6,1,3,64,19,9.67,2.87,3.59,1.21
31,Tylor Megill,NYM,3,50,64.2,268,4,3,1,0,1,,56,27,25,8,1,3,69,21,9.67,2.9,3.51,1.19
32,A.J. Puk,ARI,0,65,65,270,4,3,0,16,8,,55,26,24,7,2,3,76,23,10.49,3.14,3.38,1.19
33,Devin Williams,NYY,0,63,63,264,3,3,0,31,3,,49,25,23,6,1,3,81,28,11.52,3.99,3.25,1.21
