#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
809,Ross Carver,CLE,10,28,66.2,295,3,4,,0,0,,65,38,35,10,0,7,56,28,7.56,3.78,4.72,1.39
810,Miguel Ullola,HOU,20,25,105.2,478,5,8,,0,0,,98,63,58,16,0,8,102,63,8.68,5.36,4.94,1.52
811,Junior Santos,WSN,6,29,66,298,3,4,,0,0,,71,40,37,8,0,5,41,27,5.59,3.68,5.05,1.48
812,Tyler Woessner,MIL,13,26,79.2,361,4,6,,0,0,,82,49,45,12,0,3,61,40,6.89,4.52,5.08,1.53
813,Brady Feigl,,6,25,55,249,3,5,,0,0,,60,32,30,9,1,3,47,23,7.69,3.76,4.91,1.51
814,Rodney Theophile,,18,19,77,353,4,7,,0,0,,81,50,46,11,0,7,56,39,6.55,4.56,5.38,1.56
815,Devereaux Harrison,TOR,22,24,108.1,483,5,6,,0,0,,116,66,61,18,0,2,73,46,6.07,3.82,5.07,1.5
816,Nolan Watson,,14,18,74,333,3,5,,0,0,,79,45,42,11,0,6,48,30,5.84,3.65,5.11,1.47
817,Julio Teheran,,11,12,52.1,229,3,3,,0,0,,57,32,30,9,0,4,36,18,6.2,3.1,5.16,1.43
818,Jose Acuna,CIN,18,22,77,345,2,5,,0,0,,84,55,51,15,0,6,57,31,6.66,3.62,5.96,1.49
819,Collin Lowe,MIA,6,25,76.2,338,4,8,,0,0,,90,45,42,12,0,5,43,18,5.05,2.11,4.93,1.41
820,Andrew Quezada,COL,14,18,77.2,356,3,5,,0,0,,94,51,47,13,0,4,42,30,4.86,3.47,5.44,1.6
821,Cooper Hjerpe,STL,17,17,56.1,251,3,4,,0,0,,52,35,32,9,0,6,53,30,8.47,4.8,5.12,1.46
822,Adam Laskey,MIA,5,30,60,273,3,4,,0,0,,65,35,32,8,0,4,45,26,6.75,3.9,4.8,1.52
823,Danny Duffy,,4,14,27,124,1,2,,0,0,,27,17,16,4,0,0,24,18,8,6,5.33,1.67
824,Levi Stoudt,BAL,14,27,79,356,5,7,,0,0,,85,48,44,11,0,4,53,35,6.04,3.99,5.01,1.52
825,Bryce Bonnin,TEX,3,18,36.1,160,2,3,,0,0,,34,23,21,6,0,2,34,18,8.43,4.46,5.21,1.43
826,Aaron Brooks,,10,19,71,314,4,5,,0,0,,82,43,40,11,0,3,41,21,5.2,2.66,5.07,1.45
827,Jackson Wolf,SDP,19,27,100,440,6,8,,0,0,,103,63,58,17,0,5,73,39,6.57,3.51,5.22,1.42
828,Trent Baker,MIN,16,21,82.2,370,4,7,,0,0,,91,52,48,14,0,4,58,33,6.31,3.59,5.22,1.5
829,Jake McSteen,ATL,5,31,54.2,242,3,3,,0,0,,62,31,29,9,1,1,40,17,6.58,2.8,4.77,1.44
830,Konnor Ash,PHI,8,32,50,226,2,3,,0,0,,51,31,29,8,0,0,43,28,7.74,5.04,5.22,1.58
831,Michael Cuevas,WSN,18,26,91.1,420,5,9,,0,0,,102,59,55,12,0,8,52,40,5.13,3.94,5.42,1.56
832,Efrain Contreras,SDP,11,19,57.2,259,3,5,,0,0,,58,36,33,10,0,4,51,27,7.95,4.21,5.15,1.47
833,Eric Silva,DET,6,36,60.2,272,3,5,,0,0,,60,36,33,8,1,5,48,27,7.12,4,4.89,1.43
834,Alejandro Melean,,7,18,53.2,242,2,4,,0,0,,56,31,29,8,0,3,39,25,6.54,4.19,4.86,1.51
835,Cesar Gomez,HOU,5,31,57.2,260,3,4,,0,0,,64,34,31,8,0,2,38,22,5.93,3.43,4.84,1.49
836,Moisés Chace,PHI,14,23,69.1,317,3,5,,0,0,,66,46,43,12,0,5,69,41,8.96,5.32,5.58,1.54
837,Thaddeus Ward,BAL,21,24,93.2,430,4,7,,0,1,,95,57,53,12,1,11,73,51,7.01,4.9,5.09,1.56
838,Leonardo Pestana,NYY,7,23,35.2,160,1,2,,0,0,,35,24,22,7,0,3,34,16,8.57,4.03,5.55,1.43
839,Matt Russell,,5,21,43.2,202,2,3,,0,0,,47,27,25,6,0,4,31,21,6.38,4.32,5.15,1.56
840,Spencer Stockton,,2,20,38,173,1,3,,0,0,,41,26,24,6,0,2,29,18,6.87,4.26,5.68,1.55
841,Andrew Suárez,,2,27,56.2,251,2,2,,0,0,,61,32,30,8,0,1,43,22,6.83,3.49,4.76,1.46
842,Luis Quinones,TOR,5,29,70.2,315,4,5,,0,0,,66,41,38,10,1,5,65,37,8.27,4.71,4.84,1.46
843,Yunior Marte,KCR,12,17,49.1,224,1,3,,0,0,,56,35,32,9,0,2,30,18,5.48,3.29,5.84,1.5
844,Nick Hull,CHC,9,28,73,331,3,3,,0,0,,75,44,41,10,0,4,55,34,6.78,4.19,5.05,1.49
